,Country,Region_x,Population (millions),HDI,GDP per Capita,Total Ecological Footprint,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Region_y,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
97,Philippines,Asia-Pacific,96.71,0.66,"$2,379.44",1.1,0.54,-0.56,0.64,2.03,Southeastern Asia,82,5.279,0.81217,0.87877,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002
98,Poland,European Union,38.21,0.84,"$13,769.50",4.44,2.08,-2.36,2.57,2.14,Central and Eastern Europe,57,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443
99,Portugal,European Union,10.6,0.83,"$23,217.30",3.88,1.51,-2.37,2.24,2.57,Western Europe,94,5.122999999999999,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999
100,Qatar,Middle East/Central Asia,2.05,0.85,"$99,431.50",10.8,1.24,-9.56,6.24,8.72,Middle East and Northern Africa,36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388
101,Romania,European Union,21.76,0.79,"$9,213.94",2.71,2.32,-0.39,1.56,1.17,Central and Eastern Europe,71,5.528,1.1697,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889
102,Russia,Northern/Eastern Europe,143.17,0.79,"$13,320.20",5.69,6.79,1.1,3.29,0.84,Central and Eastern Europe,56,5.856,1.2322799999999998,1.05261,0.58991,0.32682,0.03586,0.027360000000000002
103,Rwanda,Africa,11.46,0.48,$628.08,0.87,0.54,-0.32,0.5,1.6,Sub-Saharan Africa,152,3.515,0.32846,0.6158600000000001,0.31865,0.5432,0.50521,0.23551999999999998
104,Saudi Arabia,Middle East/Central Asia,28.29,0.83,"$23,593.80",5.61,0.5,-5.12,3.24,11.28,Middle East and Northern Africa,34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457
105,Senegal,Africa,13.73,0.46,"$1,079.27",1.21,1.05,-0.16,0.7,1.16,Sub-Saharan Africa,128,4.218999999999999,0.44314,0.7741600000000001,0.40457,0.31056,0.11681,0.19103
106,Serbia,Northern/Eastern Europe,9.55,0.76,"$6,426.18",2.7,1.25,-1.44,1.56,2.15,Central and Eastern Europe,86,5.1770000000000005,1.03437,0.81329,0.6458,0.15718,0.04339,0.20736999999999997
107,Sierra Leone,Africa,5.98,0.4,$499.89,1.24,1.24,0.0,0.71,1.0,Sub-Saharan Africa,111,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897
108,Singapore,Asia-Pacific,5.3,0.91,"$53,122.40",7.97,0.05,-7.92,4.61,159.47,Southeastern Asia,22,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706
109,Slovakia,European Union,5.45,0.84,"$18,103.10",4.06,2.71,-1.35,2.35,1.5,Central and Eastern Europe,45,6.077999999999999,1.27973,1.0826799999999999,0.70367,0.23390999999999998,0.02947,0.13837
110,Slovenia,European Union,2.07,0.88,"$25,040.50",5.81,2.35,-3.47,3.36,2.48,Central and Eastern Europe,63,5.768,1.2994700000000001,1.05613,0.79151,0.53164,0.03635,0.25738
111,Somalia,Africa,10.2,,,1.24,1.27,0.03,0.71,0.98,Sub-Saharan Africa,76,5.44,0.0,0.33613000000000004,0.11465999999999998,0.5677800000000001,0.3118,0.27225
112,South Africa,Africa,52.39,0.66,"$8,089.87",3.31,1.15,-2.16,1.91,2.87,Sub-Saharan Africa,116,4.459,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656
113,Spain,European Union,46.76,0.87,"$32,008.70",3.67,1.25,-2.42,2.12,2.94,Western Europe,37,6.361000000000001,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665
114,Sri Lanka,Asia-Pacific,21.1,0.75,"$2,880.03",1.32,0.44,-0.88,0.77,3.01,Southern Asia,117,4.415,0.9731799999999999,0.84783,0.62007,0.50817,0.07964,0.46978000000000003
