,Country,Region_x,Population (millions),HDI,GDP per Capita,Total Ecological Footprint,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Region_y,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
47,Greece,European Union,11.12,0.86,"$25,987.40",4.38,1.61,-2.77,2.53,2.73,Western Europe,99,5.033,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0
48,Guatemala,Latin America,15.08,0.62,"$3,233.80",1.89,0.99,-0.9,1.09,1.91,Latin America and Caribbean,39,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808
49,Guinea,Africa,11.45,0.41,$459.09,1.41,2.09,0.68,0.81,0.67,Sub-Saharan Africa,151,3.6069999999999998,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914
50,Haiti,Latin America,10.17,0.48,$749.13,0.61,0.27,-0.34,0.35,2.28,Latin America and Caribbean,136,4.0280000000000005,0.34097,0.29561,0.27494,0.12072000000000001,0.14476,0.47958
51,Honduras,Latin America,7.94,0.61,"$2,269.51",1.68,1.77,0.09,0.97,0.95,Latin America and Caribbean,104,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044
52,Hungary,European Union,9.98,0.82,"$13,964.20",2.92,2.17,-0.75,1.69,1.34,Central and Eastern Europe,91,5.145,1.24142,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099
53,India,Asia-Pacific,1236.69,0.6,"$1,513.85",1.16,0.45,-0.71,0.67,2.55,Southern Asia,118,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028
54,Indonesia,Asia-Pacific,246.86,0.68,"$3,688.53",1.58,1.26,-0.32,0.91,1.25,Southeastern Asia,79,5.314,0.95104,0.87625,0.49373999999999996,0.39237,0.00322,0.56521
55,Iraq,Middle East/Central Asia,32.78,0.65,"$5,848.54",1.88,0.29,-1.59,1.09,6.58,Middle East and Northern Africa,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13635999999999998,0.19589
56,Ireland,European Union,4.58,0.91,"$52,853.60",5.57,3.73,-1.83,3.21,1.49,Western Europe,19,6.907,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003
57,Israel,Middle East/Central Asia,7.64,0.89,"$33,718.90",6.22,0.35,-5.87,3.59,17.59,Middle East and Northern Africa,11,7.267,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288
58,Italy,European Union,60.92,0.87,"$38,412.00",4.61,1.08,-3.53,2.66,4.28,Western Europe,50,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002
59,Jamaica,Latin America,2.77,0.72,"$5,226.30",1.89,0.43,-1.46,1.09,4.39,Latin America and Caribbean,73,5.51,0.89333,0.96372,0.5946899999999999,0.43596999999999997,0.04294,0.22245
60,Japan,Asia-Pacific,127.25,0.89,"$46,201.60",5.02,0.72,-4.3,2.9,7.01,Eastern Asia,53,5.921,1.3800700000000001,1.06054,0.91491,0.46761,0.18985,0.10224
61,Jordan,Middle East/Central Asia,7.01,0.75,"$4,615.17",2.1,0.21,-1.89,1.21,9.91,Middle East and Northern Africa,80,5.303,0.9967299999999999,0.86216,0.60712,0.36023,0.13297,0.14262
62,Kazakhstan,Middle East/Central Asia,16.27,0.78,"$11,278.00",5.55,3.41,-2.14,3.2,1.63,Central and Eastern Europe,54,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011
63,Kenya,Africa,43.18,0.54,"$1,062.11",1.03,0.51,-0.52,0.6,2.02,Sub-Saharan Africa,122,4.356,0.52267,0.7624,0.30146999999999996,0.40576,0.06686,0.41328000000000004
64,Kuwait,Middle East/Central Asia,3.25,0.82,"$41,830.50",8.13,0.55,-7.58,4.7,14.68,Middle East and Northern Africa,41,6.239,1.61714,0.8775799999999999,0.63569,0.43166000000000004,0.23669,0.15965
65,Kyrgyzstan,Middle East/Central Asia,5.47,0.65,"$1,116.37",1.91,1.3,-0.61,1.1,1.47,Central and Eastern Europe,85,5.185,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.047619999999999996,0.38432
66,Latvia,European Union,2.06,0.81,"$13,732.00",6.29,9.55,3.26,3.63,0.66,Central and Eastern Europe,68,5.56,1.2178799999999999,0.95025,0.63952,0.27996,0.0889,0.17445
67,Lebanon,Middle East/Central Asia,4.65,0.76,"$9,143.86",3.84,0.33,-3.51,2.22,11.7,Middle East and Northern Africa,93,5.129,1.12268,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003
68,Liberia,Africa,4.19,0.42,$397.38,1.21,2.57,1.35,0.7,0.47,Sub-Saharan Africa,150,3.622,0.10705999999999999,0.50353,0.23165,0.25748000000000004,0.04852,0.24063
